,Mkt-RF,SMB,HML,RMW,CMA,RF
20100412,0.23,0.33,0.07,-0.01,0.24,0.001
20100413,0.07,0.11,-0.07,0.14,0.03,0.001
20100414,1.24,1.04,1.43,-1.13,0.53,0.001
20100415,0.11,0.54,-0.04,0.18,-0.19,0.001
20100416,-1.53,0.5,-1.88,1.08,-0.25,0.001
20100419,0.28,-0.89,-0.04,-0.11,0.21,0.001
20100420,0.88,0.75,0.58,-0.17,-0.02,0.001
20100421,-0.06,0.71,0.18,0.42,-0.2,0.001
20100422,0.37,0.85,0.54,-0.09,0.11,0.001
20100423,0.7,0.37,0.59,-0.06,0.16,0.001
20100426,-0.43,0.39,-0.4,0.78,0.26,0.001
20100427,-2.34,-0.05,-1.35,0.47,-0.67,0.001
20100428,0.56,-0.61,0.7,-0.6,0.35,0.001
20100429,1.34,0.54,0.56,-0.52,0.51,0.001
20100430,-1.72,-1.09,-0.88,0.37,-0.54,0.001
20100503,1.36,0.76,0.6,-0.2,0.41,0.001
20100504,-2.5,-0.64,-0.92,0.25,-0.22,0.001
20100505,-0.75,-0.83,-0.59,0.03,-0.45,0.001
20100506,-3.27,-0.38,-0.9,0.8,-0.31,0.001
20100507,-1.75,-1.34,-0.5,0.22,-0.19,0.001
20100510,4.47,1.06,1.21,-0.53,0.17,0.001
20100511,-0.17,1.13,-0.14,-0.11,0.03,0.001
20100512,1.63,1.45,0.15,0.08,0.2,0.001
20100513,-1.12,0.32,-0.32,0.17,-0.17,0.001
20100514,-1.92,-0.34,-0.76,0.4,-0.29,0.001
20100517,0.11,0.03,-0.59,0.15,0.14,0.001
20100518,-1.41,-0.31,-0.96,0.63,-0.3,0.001
20100519,-0.63,-0.9,0.03,-0.27,0.16,0.001
20100520,-3.99,-1.07,-1.19,0.5,-0.29,0.001
20100521,1.44,-0.21,1.58,-0.79,0.12,0.001
20100524,-1.19,0.19,-0.89,0.67,-0.07,0.001
20100525,-0.03,-0.41,0.56,-0.52,0.16,0.001
20100526,-0.35,0.92,0.4,-0.27,0.14,0.001
20100527,3.45,0.83,1.61,-0.37,0.72,0.001
20100528,-1.18,0.04,-0.68,0.35,-0.01,0.001
20100601,-1.89,-1.28,-1.63,0.08,-0.28,0.001
20100602,2.63,0.28,0.41,-0.36,0.02,0.001
20100603,0.54,0.66,-0.28,0.27,-0.27,0.001
20100604,-3.62,-1.3,-0.67,0.09,-0.25,0.001
20100607,-1.52,-1.19,-1.01,0.5,-0.67,0.001
20100608,0.91,-1.38,0.11,-0.13,0.21,0.001
20100609,-0.46,0.74,-0.2,0.47,0.24,0.001
20100610,2.95,0.48,0.87,0.14,0.37,0.001
20100611,0.62,0.94,0.05,-0.11,0.06,0.001
20100614,-0.06,0.63,-0.01,0.21,0.23,0.001
20100615,2.36,0.2,0.89,-0.24,0.09,0.001
20100616,-0.11,-0.26,-0.31,-0.03,-0.32,0.001
20100617,0.08,-0.21,-0.49,-0.21,-0.04,0.001
20100618,0.13,-0.02,0.24,-0.2,-0.14,0.001
20100621,-0.47,-0.57,-0.02,0.19,0.1,0.001
20100622,-1.63,-0.48,-0.74,-0.25,-0.29,0.001
20100623,-0.29,0,0.22,-0.15,0.02,0.001
20100624,-1.65,-0.01,-0.9,-0.06,-0.21,0.001
20100625,0.48,1.21,1.07,-1.21,-0.24,0.001
20100628,-0.23,-0.12,-0.77,0.34,0.02,0.001
20100629,-3.23,-0.79,-1.29,0.45,-0.24,0.001
20100630,-0.98,0,-0.34,-0.03,-0.02,0.001
20100701,-0.4,-0.36,-0.43,0.49,0.13,0.001
20100702,-0.5,-0.33,-0.44,0.11,-0.37,0.001
20100706,0.33,-1.96,0.11,0.04,-0.44,0.001
20100707,3.17,0.04,0.43,-0.76,0.93,0.001
20100708,1,0.57,-0.01,0.08,0.12,0.001
20100709,0.81,0.69,0.61,-0.64,0.48,0.001
20100712,-0.11,-1.17,0.11,0.27,-0.11,0.001
20100713,1.76,1.62,0.63,-0.67,0.9,0.001
20100714,-0.04,-0.2,-0.81,0.52,-0.32,0.001
20100715,0.02,-0.87,-0.13,0.32,-0.1,0.001
20100716,-2.94,-0.62,-0.93,0.95,-0.69,0.001
20100719,0.54,-0.21,-0.19,0.06,0.19,0.001
20100720,1.23,0.61,0.05,-0.03,0.5,0.001
20100721,-1.3,-0.39,-0.43,0.34,-0.05,0.001
20100722,2.37,1.25,0.58,-0.73,0.72,0.001
20100723,1.05,1.38,-0.31,-0.31,0.48,0.001
20100726,1.23,0.89,0.15,-0.53,0.26,0.001
20100727,-0.23,-0.31,0.36,0.41,-0.31,0.001
20100728,-0.82,-0.86,0.04,0.37,-0.26,0.001
20100729,-0.36,0.4,0.64,-0.16,-0.11,0.001
20100730,0.06,0.08,-0.21,-0.05,0.02,0.001
20100802,2.09,-0.53,0.13,-0.3,0.38,0.001
20100803,-0.56,-0.36,-0.5,0.16,-0.66,0.001
20100804,0.74,0.37,-0.1,-0.27,0.21,0.001
20100805,-0.22,-0.88,0.14,0.01,0.14,0.001
20100806,-0.36,-0.19,-0.37,0.1,-0.24,0.001
20100809,0.62,0.62,0.08,-0.16,0.03,0.001
20100810,-0.79,-1.26,-0.23,0.37,-0.26,0.001
20100811,-2.91,-1.09,-0.63,1.03,-0.57,0.001
20100812,-0.5,0.02,-0.06,0.53,-0.18,0.001
20100813,-0.47,-0.77,0.24,-0.19,0.02,0.001
20100816,0.1,0.88,-0.18,-0.09,0.08,0.001
20100817,1.31,0.5,-0.26,-0.23,0.17,0.001
20100818,0.21,0.08,0.08,0.03,0.33,0.001
20100819,-1.74,-0.88,-0.4,0.34,-0.39,0.001
20100820,-0.28,0.24,-0.23,-0.16,-0.2,0.001
20100823,-0.5,-0.91,-0.4,0.23,-0.37,0.001
20100824,-1.48,0.15,0.16,0.17,-0.12,0.001
20100825,0.45,1.02,0,-0.2,-0.01,0.001
20100826,-0.76,-0.09,-0.24,0.13,-0.15,0.001
20100827,1.82,0.95,0.36,-0.91,0.19,0.001
20100830,-1.54,-0.85,-0.42,0.32,-0.31,0.001
20100831,0.01,-0.19,0.81,-0.46,0.24,0.001
20100901,3.05,0.71,0.47,-0.29,0.39,0.001
20100902,0.97,0.25,-0.36,-0.13,0.51,0.001
20100903,1.35,0.36,0.22,-0.22,0.17,0.001
20100907,-1.23,-0.87,-0.77,0.44,-0.51,0.001
20100908,0.65,0.07,0.17,-0.31,-0.01,0.001
20100909,0.44,-0.43,0.58,-0.04,0.04,0.001
20100910,0.45,-0.07,-0.16,0.18,-0.01,0.001
20100913,1.3,1.16,0.23,-0.36,0.27,0.001
20100914,-0.06,-0.29,-0.51,0.21,-0.16,0.001
20100915,0.36,0.1,-0.18,0.18,-0.27,0.001
20100916,-0.07,-0.54,-0.67,0.23,-0.22,0.001
20100917,0.15,0.56,-0.6,0.21,-0.25,0.001
20100920,1.6,1.14,0.23,-0.24,0.34,0.001
20100921,-0.31,-0.34,-0.27,0.01,-0.27,0.001
20100922,-0.52,-0.58,-0.6,0.6,-0.19,0.001
20100923,-0.78,-0.18,-0.68,0.24,-0.15,0.001
20100924,2.19,0.99,0.51,-0.68,0.5,0.001
20100927,-0.46,0.18,-0.49,0.15,-0.07,0.001
20100928,0.58,0.53,0.09,-0.23,0.2,0.001
20100929,-0.17,0.65,-0.25,-0.1,0.05,0.001
20100930,-0.26,0.11,0.28,-0.09,-0.01,0.001
20101001,0.43,0.03,0.21,0.12,0.27,0.001
20101004,-0.88,-0.73,-0.03,0.02,0.06,0.001
20101005,2.11,0.79,0.16,-0.19,0.1,0.001
20101006,-0.1,-0.36,0.45,0.22,0.23,0.001
20101007,-0.16,0.06,-0.29,0.02,0.01,0.001
20101008,0.74,0.86,-0.2,-0.3,0.4,0.001
20101011,0.04,0.07,-0.2,0.37,0.04,0.001
20101012,0.39,0,0.24,-0.21,0.03,0.001
20101013,0.78,0.85,-0.35,-0.03,-0.05,0.001
20101014,-0.38,0.29,-0.4,0.24,-0.19,0.001
20101015,0.18,-0.19,-1.27,0.57,-0.63,0.001
20101018,0.69,0.14,0.91,-0.26,0.18,0.001
20101019,-1.67,-0.73,0.26,0.25,-0.18,0.001
20101020,1.06,0.09,0.09,0.18,0.29,0.001
20101021,0.11,-0.57,-0.48,0.43,-0.2,0.001
20101022,0.29,0.42,-0.4,-0.28,-0.22,0.001
20101025,0.31,0.41,-0.47,-0.12,-0.01,0.001
20101026,0.02,-0.02,-0.19,0.31,-0.15,0.001
20101027,-0.24,-0.26,-0.24,-0.42,-0.1,0.001
20101028,0.08,-0.62,-0.08,0.1,-0.19,0.001
20101029,0.07,0.32,-0.11,0.1,0.12,0.001
20101101,-0.01,-0.65,-0.21,0.29,0.01,0.001
20101102,0.9,1.26,-0.21,0.06,0.07,0.001
20101103,0.38,-0.06,0.19,-0.17,0.16,0.001
20101104,1.94,0.53,1.04,-0.75,0.86,0.001
20101105,0.41,-0.04,0.64,-0.3,0.49,0.001
20101108,-0.12,0.41,-0.46,0.2,-0.15,0.001
20101109,-0.78,-0.45,-0.49,0.73,-0.19,0.001
20101110,0.53,0.64,0.59,-0.46,0.36,0.001
20101111,-0.35,-0.05,-0.15,0.18,0.17,0.001
20101112,-1.29,-0.47,-0.05,0.17,-0.04,0.001
20101115,-0.09,0.22,0.31,-0.03,0.15,0.001
20101116,-1.58,-0.34,-0.11,0.35,-0.14,0.001
20101117,0.07,0.32,-0.28,0.18,0.24,0.001
20101118,1.57,0.31,-0.31,-0.26,-0.07,0.001
20101119,0.31,0.17,-0.23,-0.1,0.12,0.001
20101122,-0.02,0.51,-0.96,0.16,-0.32,0.001
20101123,-1.38,0.51,-0.29,0.42,-0.38,0.001
20101124,1.59,0.63,0.04,-0.37,0.22,0.001
20101126,-0.67,0.28,-0.36,0.22,-0.08,0.001
20101129,-0.13,0.07,0.42,-0.12,0.1,0.001
20101130,-0.59,-0.19,0,0.01,-0.01,0.001
20101201,2.12,-0.1,0,-0.39,0.37,0.001
20101202,1.23,-0.25,0.63,-0.44,0.73,0.001
20101203,0.35,0.36,0.09,-0.12,0.24,0.001
20101206,-0.03,0.74,-0.04,-0.1,0.15,0.001
20101207,0.1,0.36,0.05,-0.03,-0.09,0.001
20101208,0.32,-0.46,0.67,-0.34,0.17,0.001
20101209,0.42,0.03,0.63,-0.41,0.51,0.001
20101210,0.67,0.47,0.22,-0.19,0.18,0.001
20101213,-0.08,-0.56,0.03,-0.14,-0.06,0.001
20101214,0.09,-0.05,-0.13,0.39,-0.08,0.001
20101215,-0.49,0.14,-0.56,0.2,-0.1,0.001
20101216,0.7,0.42,-0.14,-0.23,0.01,0.001
20101217,0.15,0.17,-0.18,-0.33,0.26,0.001
20101220,0.23,0.05,0.3,-0.27,0.17,0.001
20101221,0.68,0.38,0.75,-0.57,0.28,0.001
20101222,0.29,-0.32,0.81,-0.22,0.2,0.001
20101223,-0.16,0.05,-0.31,0.21,-0.17,0.001
20101227,0.08,0.26,0.47,-0.35,0.15,0.001
20101228,0,-0.43,0.17,-0.01,-0.15,0.001
20101229,0.17,0.11,-0.16,0.05,-0.09,0.001
20101230,-0.11,0.13,-0.04,0.2,0.06,0.001
20101231,-0.1,-0.6,0.23,-0.12,0.12,0.001
20110103,1.18,0.56,0.77,-0.42,0.17,0
20110104,-0.26,-1.34,0.07,0.01,0.04,0
20110105,0.59,0.61,0.13,-0.42,0.06,0
20110106,-0.15,-0.14,-0.33,-0.14,-0.06,0
20110107,-0.21,-0.26,-0.27,0.17,-0.14,0
20110110,-0.02,0.49,-0.16,-0.4,0.03,0
20110111,0.39,0.1,0.18,-0.28,0.09,0
20110112,0.87,-0.05,0.27,-0.34,0.32,0
20110113,-0.17,0.14,-0.35,0.5,0.12,0
20110114,0.69,0.04,0.58,-0.7,0.14,0
20110118,0.18,-0.01,-0.51,0.41,-0.15,0
20110119,-1.24,-1.34,-0.52,0.92,-0.44,0
20110120,-0.29,-0.96,0.7,0.59,0.39,0
20110121,0.11,-0.84,0.59,-0.14,0.32,0
20110124,0.65,0.2,-0.28,-0.18,0.34,0
20110125,0.02,0.01,0.13,0.33,-0.09,0
20110126,0.6,1.35,-0.22,-0.26,0.09,0
20110127,0.26,-0.05,0.36,-0.15,0.01,0
20110128,-1.88,-0.83,-0.03,0.04,-0.37,0
20110131,0.71,0.01,-0.26,-0.35,0.09,0
20110201,1.75,0.54,0.52,-0.33,0.19,0.001
20110202,-0.26,-0.11,-0.38,-0.1,-0.03,0.001
20110203,0.26,0,-0.06,0.13,0.27,0.001
20110204,0.29,-0.04,-0.51,-0.22,-0.01,0.001
20110207,0.7,0.31,0.59,-0.3,0.24,0.001
20110208,0.48,0.23,-0.01,0.1,0.08,0.001
20110209,-0.31,-0.2,-0.06,0.31,-0.13,0.001
20110210,0.12,0.3,-0.29,-0.16,0.11,0.001
20110211,0.67,0.4,0.5,-0.36,0.36,0.001
20110214,0.3,0.25,-0.17,-0.1,-0.09,0.001
20110215,-0.38,-0.3,0.31,0.16,-0.12,0.001
20110216,0.68,0.4,0.24,-0.08,0.28,0.001
20110217,0.37,0.36,0.17,-0.44,0.27,0.001
20110218,0.12,-0.08,0.05,0.18,-0.01,0.001
20110222,-2.19,-0.49,-0.31,0.76,-0.58,0.001
20110223,-0.78,-1.09,0.41,-0.14,-0.2,0.001
20110224,0.04,0.63,-0.34,-0.27,-0.15,0.001
20110225,1.22,0.98,0.25,-0.72,0.46,0.001
20110228,0.42,-0.39,0.25,-0.19,-0.19,0.001
20110301,-1.58,-0.29,-0.05,0.4,-0.45,0
20110302,0.28,0.28,-0.3,0,0.17,0
20110303,1.76,0.47,-0.06,-0.33,0.14,0
20110304,-0.67,0.25,-0.53,0.16,-0.2,0
20110307,-0.96,-0.64,0.08,0.36,-0.23,0
20110308,0.97,0.52,0.7,-0.06,0.28,0
20110309,-0.17,-0.22,0.34,0.49,-0.24,0
20110310,-1.93,-0.73,-0.31,0.67,-0.56,0
20110311,0.69,-0.37,0.16,-0.41,0.23,0
20110314,-0.59,0.08,-0.42,0.18,-0.01,0
20110315,-1.05,0.27,-0.16,0.35,0.01,0
20110316,-1.77,0.64,-0.12,-0.03,0.18,0
20110317,1.12,-0.73,0.57,-0.24,0.13,0
20110318,0.49,0.58,0.19,0.06,0.3,0
20110321,1.58,0.88,-0.24,-0.36,0.02,0
20110322,-0.34,-0.08,-0.05,0.11,-0.2,0
20110323,0.31,0.11,-0.44,0.07,0.1,0
20110324,0.96,-0.19,-0.42,-0.25,0.36,0
20110325,0.41,0.47,-0.02,0.11,0.05,0
20110328,-0.35,0.07,-0.22,0.35,-0.16,0
20110329,0.74,0.21,-0.21,-0.2,0.16,0
20110330,0.79,0.46,0.05,0.04,0.06,0
20110331,-0.11,0.57,-0.29,0.14,-0.07,0
20110401,0.52,-0.09,0.21,0.14,0.06,0
20110404,0.09,0.21,-0.1,0.11,-0.03,0
20110405,0.08,0.48,-0.23,0.11,0.29,0
20110406,0.21,-0.16,0.64,-0.15,0.2,0
20110407,-0.2,-0.23,-0.18,0.19,-0.12,0
20110408,-0.47,-0.52,-0.28,0.08,-0.21,0
20110411,-0.39,-0.61,-0.05,0.42,-0.24,0
20110412,-0.84,-0.67,0.08,0.49,-0.18,0
20110413,0.11,0.08,-0.69,-0.09,-0.13,0
20110414,0,0.35,-0.35,-0.06,-0.2,0
20110415,0.44,0.53,-0.09,-0.01,0.27,0
20110418,-1.15,-0.41,-0.32,0.25,-0.26,0
20110419,0.5,-0.36,-0.18,0.01,0.25,0
20110420,1.45,0.53,-0.6,-0.33,0.07,0
20110421,0.56,0.33,-0.07,-0.02,0.03,0
20110425,-0.16,-0.08,0,-0.01,-0.24,0
20110426,0.89,0.09,-0.02,-0.18,0.4,0
20110427,0.66,-0.1,-0.21,0.16,-0.31,0
20110428,0.32,-0.09,0.16,0.01,-0.23,0
20110429,0.29,0.2,-0.09,-0.24,-0.18,0
20110502,-0.28,-0.89,-0.2,0.48,-0.32,0
20110503,-0.5,-0.92,0.38,0.61,-0.07,0
20110504,-0.74,-0.56,-0.09,0.54,-0.31,0
20110505,-0.82,0.46,-0.32,0.28,0.23,0
20110506,0.46,0.07,-0.16,-0.28,-0.11,0
20110509,0.55,0.66,-0.5,-0.01,-0.05,0
20110510,0.86,0.68,0.26,0.01,-0.08,0
20110511,-1.09,-0.64,-0.42,0.69,-0.43,0
20110512,0.52,0.33,-0.46,0.13,-0.12,0
20110513,-0.88,-0.48,-0.33,0.25,-0.21,0
20110516,-0.76,-0.97,0.43,0.18,0.05,0
20110517,-0.11,-0.41,0.18,0.03,-0.27,0
20110518,1.02,0.64,-0.31,-0.32,0.23,0
20110519,0.22,-0.01,-0.1,0.15,-0.08,0
20110520,-0.73,0.04,-0.2,-0.23,0,0
20110523,-1.29,-0.51,0.01,0.34,-0.31,0
20110524,-0.14,-0.27,-0.05,0.09,0.01,0
20110525,0.45,0.99,-0.35,-0.45,0.16,0
20110526,0.52,0.69,-0.13,-0.07,0.03,0
20110527,0.49,0.21,0.22,-0.13,0.11,0
20110531,1.04,0.38,-0.04,-0.18,-0.01,0
20110601,-2.33,-0.73,-0.28,0.6,-0.66,0
20110602,-0.1,-0.03,0.11,-0.45,-0.07,0
20110603,-1.1,-0.49,0.15,0.21,-0.05,0
20110606,-1.18,-0.34,-0.32,0.57,-0.24,0
20110607,-0.04,0.32,-0.11,-0.09,-0.05,0
20110608,-0.54,-0.65,0.04,0.55,-0.38,0
20110609,0.75,-0.01,0.01,0.04,0.12,0
20110610,-1.37,-0.19,0.43,-0.06,-0.09,0
20110613,0.01,-0.43,0.4,0.37,-0.47,0
20110614,1.36,0.98,-0.39,0.13,0.33,0
20110615,-1.72,-0.03,-0.16,0.36,-0.28,0
20110616,0.12,0.01,0.47,0.36,-0.14,0
20110617,0.25,-0.37,0.67,0.03,0.16,0
20110620,0.58,0.37,-0.09,0.16,-0.04,0
20110621,1.52,0.95,-0.4,-0.3,0.15,0
20110622,-0.62,-0.1,0,-0.06,0.12,0
20110623,-0.14,0.59,-0.81,0.23,-0.06,0
20110624,-1.1,0.5,0.09,0.12,-0.26,0
20110627,0.89,0.1,-0.04,0.21,-0.31,0
20110628,1.36,0.41,-0.54,-0.16,-0.03,0
20110629,0.77,-0.62,0.65,-0.36,0.41,0
20110630,0.99,0.09,-0.24,0.01,0.3,0
20110701,1.45,-0.01,0.15,0.04,0.14,0
20110705,-0.08,0.19,-0.85,0.43,-0.52,0
20110706,0.18,0.36,-0.58,0.29,-0.01,0
20110707,1.1,0.47,0.16,-0.18,-0.31,0
20110708,-0.67,-0.01,-0.41,0.33,-0.13,0
20110711,-1.91,-0.13,-0.33,0.79,0.02,0
20110712,-0.45,0.05,0.43,0.11,0.23,0
20110713,0.45,0.55,-0.14,-0.19,-0.14,0
20110714,-0.82,-0.79,0.14,0.26,0.17,0
20110715,0.58,0.07,-0.51,0.12,-0.65,0
20110718,-0.94,-0.56,-0.42,0.63,-0.36,0
20110719,1.72,0.55,-0.66,0.14,-0.34,0
20110720,-0.1,-0.22,0.79,-0.06,0.45,0
20110721,1.29,-0.3,1.1,-0.49,0.29,0
20110722,0.1,-0.14,-0.7,-0.11,-0.58,0
20110725,-0.68,-0.55,0.14,0.26,-0.16,0
20110726,-0.47,-0.32,0.31,0.07,-0.17,0
20110727,-2.16,-0.71,0.39,0.6,0.35,0
20110728,-0.31,0.11,-0.02,-0.14,-0.37,0
20110729,-0.56,0.24,0.11,-0.24,0.25,0
20110801,-0.4,-0.13,0.15,0.02,-0.07,0
20110802,-2.68,-0.44,0.19,0.19,-0.2,0
20110803,0.58,0.21,-0.4,0.16,-0.28,0
20110804,-5.04,-0.76,0.39,0.96,0.02,0
20110805,-0.36,-1.17,-0.58,1.19,0.09,0
20110808,-6.97,-1.52,-1.63,1.79,-0.4,0
20110809,4.97,0.92,0.71,-1.83,-0.07,0
20110810,-4.3,-0.58,-1.6,1.47,-0.44,0
20110811,4.72,0.31,0.79,-0.86,-0.1,0
20110812,0.54,-0.34,-1.51,0.55,-0.31,0
20110815,2.25,0.47,1.01,-1.15,0.36,0
20110816,-1.07,-0.8,-0.15,0.65,0.35,0
20110817,-0.01,-0.25,0.65,-0.02,0.43,0
20110818,-4.65,-0.95,0.53,0.91,0.45,0
20110819,-1.55,0.09,-0.35,0.22,0.07,0
20110822,-0.03,0.04,-0.91,0.61,-0.04,0
20110823,3.6,1.16,-0.77,-0.22,-0.62,0
20110824,1.35,-0.07,1.01,-0.48,0.51,0
20110825,-1.67,-0.92,0.52,-0.07,0.03,0
20110826,1.74,0.8,-1.01,0.08,-0.57,0
20110829,3.11,1.52,0.92,-1.26,0.35,0
20110830,0.32,0.25,-0.76,0.26,-0.09,0
20110831,0.42,-0.75,0.49,-0.16,-0.09,0
20110901,-1.33,-1.09,-0.78,0.61,-0.16,0
20110902,-2.64,-0.83,-0.75,0.61,-0.06,0
20110906,-0.72,0.39,-0.65,0.23,-0.15,0
20110907,3.06,0.9,1.03,-1.27,0.12,0
20110908,-1.18,-0.81,-0.61,0.42,-0.18,0
20110909,-2.65,-0.2,-0.03,0.27,-0.01,0
20110912,0.68,-0.02,0.36,-0.46,-0.18,0
20110913,1.12,0.74,-0.4,-0.17,-0.08,0
20110914,1.45,0.38,-0.38,-0.07,-0.21,0
20110915,1.64,-0.52,0.58,-0.34,0.06,0
20110916,0.47,-0.38,-0.36,0.23,-0.15,0
20110919,-0.99,-0.54,-1.28,1.15,-0.3,0
20110920,-0.45,-1.44,0.23,0.19,0.22,0
20110921,-2.92,-0.47,-1.26,0.5,-0.36,0
20110922,-3.29,0.16,0.46,0.56,0.52,0
20110923,0.74,0.69,-0.03,-0.22,0.16,0
20110926,2.28,-0.54,1.28,-0.6,0.05,0
20110927,1.22,1,-0.61,-0.07,-0.2,0
20110928,-2.29,-1.69,-0.25,0.75,-0.01,0
20110929,0.77,0.66,2.11,-0.86,0.76,0
20110930,-2.5,-0.16,-0.21,0.45,0.17,0
20111003,-3.18,-1.99,-0.61,1.16,0.03,0
20111004,2.68,3.63,0.45,-0.9,-0.19,0
20111005,1.92,-0.29,-0.46,-0.65,-0.36,0
20111006,1.94,0.25,0.58,-0.41,0.15,0
20111007,-0.98,-1.33,-1.47,1.4,-0.03,0
20111010,3.44,0.54,0.64,-0.55,-0.2,0
20111011,0.15,0.64,-0.12,0,-0.23,0
20111012,1.07,0.53,0.94,-0.67,0.24,0
20111013,-0.21,0.17,-1.27,0.38,-0.32,0
20111014,1.72,0.15,-0.33,-0.03,-0.6,0
20111017,-2.06,-1.29,-0.51,0.66,-0.07,0
20111018,2.11,0.73,1.65,-1.46,0.38,0
20111019,-1.38,-0.72,0.32,0.34,0.52,0
20111020,0.43,-0.22,0.74,-0.23,0.23,0
20111021,1.92,0.16,0.09,-0.25,-0.02,0
20111024,1.59,1.73,-0.37,-0.44,-0.48,0
20111025,-2.13,-0.86,-0.32,0.76,0.01,0
20111026,1.12,0.71,0.8,-0.68,0.34,0
20111027,3.54,1.43,0.91,-1.61,-0.09,0
20111028,-0.01,-0.54,-0.57,-0.15,-0.22,0
20111031,-2.5,0.04,-0.86,1.08,0.13,0
20111101,-2.86,-0.56,-1.17,0.99,-0.01,0
20111102,1.72,0.8,0.94,-0.61,-0.07,0
20111103,1.97,0.61,-0.15,-0.05,-0.04,0
20111104,-0.53,-0.03,-0.66,0.12,-0.01,0
20111107,0.48,-0.67,0.4,0.23,0.35,0
20111108,1.21,0.03,0.55,-0.19,-0.08,0
20111109,-3.78,-0.82,-0.68,1.03,0.28,0
20111110,0.83,0.09,0.55,0.11,0.46,0
20111111,1.98,0.5,-0.18,-0.06,-0.17,0
20111114,-0.92,-0.49,-0.86,0.44,-0.26,0
20111115,0.56,0.86,-0.25,0.13,-0.2,0
20111116,-1.64,-0.17,-0.17,0.11,0.06,0
20111117,-1.65,0.21,0.15,0.27,0.4,0
20111118,-0.07,0.09,0.91,0.01,0.59,0
20111121,-1.87,-0.53,-0.04,0.1,-0.02,0
